#{"t_start": 1715861613.3965137, "env_id": "binance-v0-1d"}
r,l,t
-80958.98,455,399.44051
-74791.11,520,400.633511
-82055.25,467,401.720811
-73804.77,520,405.334811
-80529.42,450,406.343812
-72692.3,520,407.538202
-67593.83,520,408.736202
-59048.0,520,412.403202
-81955.26,467,413.460202
-80299.12,466,414.537203
-80006.6,467,415.606202
-80174.46,455,419.050202
-80522.96,457,420.080201
-72504.49,520,421.29412
-68627.8,520,422.485598
-80151.45,475,425.978977
-78024.32,520,427.156977
-75946.23,520,428.351977
-80873.85,467,429.418978
-80709.28,467,430.473416
-72425.28,520,434.094036
-66313.11,520,435.290757
-80651.5,455,436.330993
-80038.0,467,437.385994
-80019.16,380,440.679163
-80301.67,467,441.761163
-80112.3,453,442.803164
-80921.81,467,443.850456
-76597.47,520,447.473456
-81172.93,455,448.518456
-80866.92,450,449.554456
-81232.77,451,450.566777
-80281.42,453,451.599776
-80237.38,471,455.120127
-70744.78,520,456.319602
-71300.66,520,457.495603
-80037.45,469,458.54986
-80210.69,455,462.049196
-72546.96,520,463.242196
-80018.18,467,464.292196
-81376.24,451,465.305196
-80741.39,457,468.775212
-80032.59,469,469.865212
-80817.85,467,470.913213
-81845.09,451,471.940212
-66083.73,520,473.112436
-78563.02,520,476.74144
-73991.66,520,477.914439
-78324.73,520,479.082438
-80103.46,457,480.104439
-81428.98,455,483.593438
-77615.24,520,484.762468
-80071.01,451,485.774469
-80507.64,455,486.794468
-80787.73,467,490.299468
-81040.77,375,491.144469
-75862.63,520,492.322468
-80272.91,466,493.363469
-80504.73,411,494.287465
-80090.62,474,497.817468
-80254.08,429,498.773468
-75932.76,520,499.940469
-80069.55,466,500.982468
-81497.07,455,504.483196
-80016.63,455,505.505256
-77132.9,520,506.886256
-80330.22,457,507.915256
-73273.77,520,511.516257
-80437.58,475,512.601257
-57041.42,520,513.776256
-80003.18,475,514.849277
-80201.06,378,515.701611
-80720.8,466,519.183611
-80172.36,455,520.205611
-80176.35,450,521.214611
-77461.63,520,522.389934
-76295.2,520,526.004934
-81959.24,467,527.052934
-73687.44,520,528.223292
-80175.85,468,529.27631
-80007.67,475,532.80631
-81377.02,451,533.829311
-72272.79,520,534.99931
-80243.8,457,536.024311
-80712.23,455,539.50131
-75335.71,520,540.66831
-72764.41,520,541.84231
-80147.65,467,542.900894
-80141.55,467,543.963892
-75689.71,520,547.591937
-78008.83,520,548.761937
-80907.17,455,549.790212
-80743.11,445,550.805214
-69071.13,520,554.471213
-76463.08,520,555.643213
-80231.94,474,556.705213
-80322.49,466,557.776213
-80039.47,453,561.264188
-73738.32,520,562.436188
-68891.09,520,563.626187
-80749.19,455,564.670188
-80432.99,453,568.16854
-80155.13,457,569.19454
-73832.26,520,570.36954
-66953.49,520,571.562539
-80090.21,454,575.068569
-81415.85,455,576.086569
-80976.87,455,577.106569
-74609.42,520,578.304569
-80174.5,455,579.351569
-80473.02,455,582.817701
-69560.19,520,584.001701
-80226.83,474,585.088701
-62657.3,520,586.289701
-74393.75,520,589.88631
-80002.35,450,590.89931
-80151.39,467,591.969311
-80708.92,467,593.04131
-80734.17,457,596.55031
-80597.07,468,597.598315
-70918.55,520,598.784312
-80105.17,488,599.902312
-77718.65,520,603.532313
-80226.98,455,604.550313
-81613.04,455,605.589343
-69879.61,520,606.783341
-80877.02,468,607.829343
-76317.79,520,611.440343
-80110.87,467,612.508344
-80607.53,467,613.579341
-80839.01,457,614.615341
-81076.12,455,618.075342
-80471.02,475,619.15934
-80293.39,445,620.180344
-80435.54,475,621.24634
-80289.86,468,624.765344
-80176.1,454,625.79934
-81682.71,451,626.844455
-81105.49,467,627.897453
-80366.29,475,628.967454
-78173.44,520,632.565454
-80041.79,472,633.647788
-80218.82,453,634.683788
-80512.22,455,635.702788
-76984.41,520,639.328438
-74402.17,520,640.520913
-80483.95,474,641.585913
-80457.71,450,642.598913
-80061.2,457,646.079329
-80925.1,467,647.154329
-81418.57,455,648.186496
-80982.01,467,649.241512
-75082.06,520,650.421513
-81406.26,451,653.887137
-80233.81,455,654.941138
-81382.27,467,655.990138
-81167.81,467,657.032138
-76968.55,520,660.673137
-75224.19,520,661.852138
-66601.05,520,663.022557
-80152.15,464,664.068558
-68425.8,520,667.684557
-76681.44,520,668.859557
-80241.08,472,669.928557
-78486.13,520,671.095557
-80115.65,457,674.573573
-81649.08,451,675.596573
-80397.89,475,676.662574
-81309.77,455,677.684574
-80095.46,466,678.732574
-65871.37,520,682.363192
-77451.34,520,683.533254
-62816.88,520,684.970254
-81498.63,467,686.031255
-66516.11,520,689.641299
-76570.66,520,690.819299
-80296.75,453,691.8357
-80517.12,468,692.8867
-80036.46,454,696.3557
-80765.01,450,697.365702
-72658.02,520,698.5397
-66236.1,520,699.71074
-78507.75,520,703.32474
-67545.51,520,704.493932
-69989.77,520,705.673932
-80076.43,476,706.748946
-80558.23,457,710.226966
-69067.2,520,711.404965
-81226.86,467,712.449966
-81549.94,467,713.499965
-81001.67,467,717.069969
-74629.16,520,718.236968
-70018.76,520,719.399965
-80144.24,450,720.440969
-71526.71,520,723.856242
-76797.11,520,725.009243
-80196.12,451,726.013241
-81064.06,451,727.011243
-80306.89,474,728.054244
-80036.47,474,731.369245
-75336.52,520,732.514242
-71617.18,520,733.660241
-80553.55,446,734.649245
-75413.3,520,738.030242
-80690.55,467,739.059245
-63437.13,520,740.205245
-80442.0,457,741.219243
-80803.3,468,744.510242
-80294.16,453,745.524242
-79054.29,520,746.684241
-81926.58,455,747.691506
-80848.26,467,750.964506
-70169.28,520,752.122505
-80151.42,457,753.131505
-73847.55,520,754.284505
-53113.67,520,755.435506
-80845.26,451,758.6872
-81108.52,466,759.716343
-72550.02,520,760.865344
-77196.26,520,762.022001
-74005.66,520,765.426001
-80679.46,457,766.446508
-70228.74,520,767.595509
-66978.23,520,768.744509
-81384.39,455,772.003509
-75669.82,520,773.150508
-80228.53,468,774.190509
-80190.45,457,775.203508
-80432.83,474,778.532873
-81340.24,467,779.570873
-80382.78,455,780.577872
-70627.17,520,781.732873
-75757.42,520,785.108488
-80501.78,455,786.123488
-76384.74,520,787.276487
-80037.05,475,788.326487
-69675.71,520,791.731488
-80767.87,455,792.744487
-72999.2,520,793.894714
-70458.11,520,795.051111
-69816.45,520,796.208112
-80701.05,467,799.458191
-76139.15,520,800.610313
-81015.59,467,801.647314
-80772.02,451,802.65415
-81463.45,451,805.907405
-77152.89,520,807.074405
-81154.68,455,808.080406
-68724.18,520,809.228405
-74541.92,520,812.621405
-81597.8,467,813.654405
-80275.49,453,814.661405
-80733.04,451,815.661406
-80048.58,474,818.953477
-78108.88,520,820.103895
-80448.02,475,821.155896
-80527.53,457,822.169039
-79303.01,520,823.328039
-81456.85,455,826.550038
-58761.75,520,827.711038
-79613.1,520,828.863163
-81353.65,467,829.897164
-80197.78,467,833.169164
-80338.34,457,834.179164
-62888.83,520,835.325166
-80054.01,468,836.360164
-80149.53,468,839.652166
-80204.39,475,840.703163
-81299.66,467,841.734166
-81872.72,467,842.772164
-80572.92,455,846.011163
-76219.62,520,847.164167
-80443.93,474,848.210167
-81068.34,455,849.208164
-69702.02,520,850.357193
-80097.86,467,853.649194
-70276.4,520,854.800193
-80984.59,451,855.79619
-80105.12,450,856.795194
-73519.83,520,860.199217
-80970.1,455,861.201217
-80050.98,475,862.254216
-74038.78,520,863.403215
