#{"t_start": 1715804234.9136808, "env_id": "binance-v0-1d"}
r,l,t
-64824.86,529,367.179947
-70652.76,529,368.412649
-62518.32,529,369.650026
-68327.49,529,371.988025
-61152.3,529,373.226325
-65361.18,529,374.461324
-64379.63,529,375.696327
-64565.62,529,378.025326
-55807.74,529,379.259324
-49754.42,529,380.490324
-63838.98,529,381.726325
-80175.56,368,383.691328
-80047.25,371,384.558328
-38609.0,529,385.784324
-71680.92,529,387.010326
-70649.9,529,388.241326
-72575.19,529,390.597327
-52093.46,529,391.830324
-62095.8,529,393.057326
-73768.03,529,394.286326
-66076.07,529,396.630326
-44920.73,529,397.863327
-80422.64,372,398.727324
-43512.13,529,399.955327
-57677.87,529,402.284324
-56078.27,529,403.511324
-80081.74,367,404.367357
-61132.63,529,405.609726
-62821.4,529,407.935996
-63825.17,529,409.174031
-72574.82,529,410.410529
-47648.39,529,411.653934
-53405.7,529,414.002682
-61750.99,529,415.250032
-61459.57,529,416.491225
-57698.36,529,417.720478
-69388.45,529,420.068979
-50171.56,529,421.314288
-67776.37,529,422.550882
-74796.65,529,424.902538
-43356.08,529,426.141037
-65679.76,529,427.382673
-66188.64,529,428.614887
-63758.0,529,431.146685
-56674.42,529,432.384108
-59295.73,529,433.624441
-50305.37,529,434.869769
-55527.0,529,437.196275
-69730.91,529,438.433782
-60843.64,529,439.674067
-63952.26,529,440.909284
-61407.25,529,443.243627
-50039.77,529,444.486609
-52682.97,529,445.72568
-68449.66,529,446.966468
-80243.38,372,448.913889
-62426.11,529,450.148107
-74136.39,529,451.395877
-54376.53,529,452.63647
-55649.29,529,454.958387
-52882.72,529,456.202387
-67717.58,529,457.44521
-51748.51,529,458.686209
-61850.37,529,461.048842
-47040.7,529,462.294009
-69034.63,529,463.531652
-64291.1,529,464.767652
-66437.85,529,467.121423
-65547.78,529,468.346542
-61399.98,529,469.582345
-80529.93,372,470.453851
-66711.34,529,472.839841
-69394.77,529,474.079855
-53449.14,529,475.315394
-71449.63,529,476.54975
-52049.31,529,478.877314
-52153.29,529,480.110605
-50194.94,529,481.347121
-63894.86,529,482.589285
-74445.74,529,484.908645
-63894.47,529,486.143445
-57904.23,529,487.375771
-64017.56,529,488.605796
-66651.91,529,490.949095
-68548.6,529,492.194546
-68464.38,529,493.424548
-46529.17,529,494.659548
-52925.75,529,496.999548
-56570.08,529,498.232549
-63585.51,529,499.472548
-59379.16,529,501.816549
-55376.81,529,503.064549
-62179.23,529,504.289548
-56291.39,529,505.512548
-63287.56,529,507.845548
-66883.14,529,509.069548
-71146.3,529,510.295545
-59829.82,529,511.528546
-63999.76,529,513.852603
-80624.17,372,514.716606
-56963.51,529,515.949606
-72960.91,529,517.183604
-62442.24,529,519.528606
-80056.69,371,520.391607
-65410.64,529,521.621603
-63067.42,529,522.860604
-46336.34,529,525.217378
-61446.2,529,526.452535
-55271.78,529,527.68719
-60732.87,529,528.921191
-70153.25,529,531.26819
-65490.7,529,532.509401
-59047.66,529,533.736402
-58361.3,529,534.96783
-55260.18,529,537.333965
-71789.71,529,538.573965
-66588.93,529,539.808242
-68570.69,529,541.045294
-65615.81,529,543.397521
-72076.01,529,544.632179
-63492.39,529,545.863687
-64384.78,529,547.11041
-62681.39,529,549.458606
-65345.81,529,550.697685
-71745.32,529,551.93573
-54857.16,529,553.179661
-70118.26,529,555.520218
-64016.96,529,556.752218
-60003.8,529,557.98192
-65135.83,529,559.211487
-58631.47,529,561.60294
-62924.28,529,562.840998
-61421.77,529,564.079129
-56465.36,529,565.311129
-56152.83,529,567.678414
-80556.22,334,568.455752
-68718.98,529,569.695431
-47933.07,529,570.923722
-52887.4,529,573.309838
-70632.71,529,574.548136
-50486.45,529,575.779647
-63715.13,529,577.017647
-50987.12,529,579.388598
-76917.54,529,580.865153
-61541.61,529,582.098226
-44097.51,529,583.345974
-58250.24,529,585.681974
-71140.7,529,586.915343
-69453.45,529,588.158344
-63002.13,529,590.524343
-54773.02,529,591.760343
-62278.63,529,593.000283
-50998.39,529,594.239283
-50656.73,529,596.595284
-54490.05,529,597.826283
-59967.8,529,599.064422
-45672.38,529,600.294708
-62163.88,529,602.666529
-60756.33,529,603.90392
-58449.04,529,605.13592
-60524.48,529,606.36692
-61610.81,529,608.722113
-54969.72,529,609.960159
-49046.76,529,611.192159
-69957.35,529,612.431159
-70643.86,529,614.804159
-52846.4,529,616.035161
-63449.63,529,617.263162
-57458.0,529,618.501159
-62511.42,529,620.867161
-58301.83,529,622.098162
-74326.18,529,623.339161
-63159.37,529,624.584159
-43369.52,529,626.913161
-66127.31,529,628.145163
-55287.76,529,629.379161
-67117.93,529,630.60416
-50926.15,529,632.945161
-56651.42,529,634.191162
-60250.24,529,635.423162
-58408.33,529,637.762158
-51676.2,529,638.995159
-80361.17,372,639.857158
-72502.99,529,641.079161
-72837.54,529,642.30416
-65880.12,529,644.670595
-51152.44,529,645.906397
-61190.95,529,647.142441
-57955.3,529,649.495441
-66300.18,529,650.730469
-57467.86,529,651.969264
-68641.76,529,653.202265
-68295.51,529,655.550403
-64523.31,529,656.782868
-58596.04,529,658.009183
-42082.28,529,659.248553
-65082.89,529,661.613552
-68241.61,529,662.853664
-65174.9,529,664.088702
-60139.82,529,665.333124
-55809.73,529,667.680089
-72926.73,529,668.908915
-54657.89,529,670.141914
-62122.06,529,671.380976
-54884.4,529,673.741137
-49486.0,529,674.978899
-51187.38,529,676.212899
-48956.47,529,677.448915
-64306.98,529,679.800049
-47386.54,529,681.037049
-56244.02,529,682.276124
-55472.58,529,683.517675
-68313.42,529,685.893832
-56011.76,529,687.12963
-71326.89,529,688.370306
-67129.7,529,689.608459
-54064.77,529,691.977459
-65574.77,529,693.214584
-68511.16,529,694.446001
-73513.79,529,696.803099
-64989.51,529,698.039244
-80950.62,372,698.908742
-73058.29,529,700.152358
-67761.07,529,701.395358
-58062.51,529,703.766486
-62352.42,529,705.004114
-66561.81,529,706.252587
-67045.49,529,708.617061
-62223.14,529,709.854381
-64764.27,529,711.095285
-60750.99,529,712.344739
-59013.34,529,714.722904
-61138.85,529,715.983547
-64954.09,529,717.226611
-70186.03,529,718.479691
-77261.41,529,720.761985
-62757.76,529,722.019197
-56622.09,529,723.264879
-55956.12,529,724.514932
76,385.198639
537486.69,276,385.842673
544433.91,276,386.480931
525823.37,276,387.126482
491152.8,276,387.778481
521321.98,276,389.54075
401465.72,276,390.177751
405718.47,276,390.822751
477772.89,276,391.469916
506179.06,276,392.113052
580887.4,276,392.756052
567946.5,276,393.401052
512332.52,276,394.04005
564839.3,276,395.79505
551311.67,276,396.43905
624986.15,276,397.086053
599590.39,276,397.731053
235371.36,276,398.370052
398327.61,276,399.01605
280527.43,276,399.657052
495205.8,276,401.423051
476147.26,276,402.063054
496396.92,276,402.704053
582920.83,276,403.347052
622609.55,276,403.991053
571198.2,276,404.633051
567363.06,276,405.276053
531578.59,276,405.918053
571647.95,276,407.652053
565804.85,276,408.295053
649302.97,276,408.945053
539836.33,276,409.592053
571828.4,276,410.236053
554681.35,276,410.880054
583364.86,276,411.519052
576966.46,276,413.26705
584305.69,276,413.910051
564888.15,276,414.550053
546419.58,276,415.188054
596034.22,276,415.825049
543640.06,276,416.465054
547887.83,276,417.09905
497811.35,276,418.846053
384740.8,276,419.492052
490369.82,276,420.13005
570306.27,276,420.773052
553901.42,276,421.413054
580961.23,276,422.056051
601560.01,276,422.699845
550685.34,276,423.348114
381496.88,276,425.316452
564968.42,276,425.95445
563483.57,276,426.598902
524337.55,276,427.243636
568949.06,276,427.889756
558876.4,276,428.530255
612999.77,276,429.183254
584552.11,276,430.96366
607730.54,276,431.60866
610092.86,276,432.24989
494521.15,276,432.896407
572791.3,276,433.557753
625577.51,276,434.202572
496096.99,276,434.846923
553354.55,276,435.488204
597352.15,276,437.258705
543199.94,276,437.899705
620218.83,276,438.545705
546659.61,276,439.188015
426821.56,276,439.838013
561539.0,276,440.484507
556844.8,276,441.126609
477992.22,276,442.882056
562499.27,276,443.525263
556632.0,276,444.169684
556170.68,276,444.816762
385188.22,276,445.4643
579879.24,276,446.113398
580488.8,276,446.760398
504814.84,276,448.526107
598709.55,276,449.170106
450540.82,276,449.829411
580061.7,276,450.472812
564786.74,276,451.114833
587836.38,276,451.760168
595448.91,276,452.407167
378650.45,276,453.054495
507702.14,276,454.802
521991.72,276,455.443
